sample	fastq_1	fastq_2	strandedness	tpt
UF-3016-1101-0	/proj/sens2022005/delivery05927/INBOX/UF-3016/220121_A00181_0412_AHNVKNDSX2/220121_A00181_0412_AHNVKNDSX2/Sample_UF-3016-1101-0/UF-3016-1101-0_S47_L003_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/220121_A00181_0412_AHNVKNDSX2/220121_A00181_0412_AHNVKNDSX2/Sample_UF-3016-1101-0/UF-3016-1101-0_S47_L003_R2_001.fastq.gz	reverse	Baseline
UF-3016-1102-0	/proj/sens2022005/delivery05927/INBOX/UF-3016/220121_A00181_0412_AHNVKNDSX2/220121_A00181_0412_AHNVKNDSX2/Sample_UF-3016-1102-0/UF-3016-1102-0_S18_L003_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/220121_A00181_0412_AHNVKNDSX2/220121_A00181_0412_AHNVKNDSX2/Sample_UF-3016-1102-0/UF-3016-1102-0_S18_L003_R2_001.fastq.gz	reverse	Baseline
UF-3016-1103-0	/proj/sens2022005/delivery05927/INBOX/UF-3016/211217_A00605_0328_AHLG2TDSX2/211217_A00605_0328_AHLG2TDSX2/Sample_UF-3016-1103-0/UF-3016-1103-0_S83_L002_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/211217_A00605_0328_AHLG2TDSX2/211217_A00605_0328_AHLG2TDSX2/Sample_UF-3016-1103-0/UF-3016-1103-0_S83_L002_R2_001.fastq.gz	reverse	Baseline
UF-3016-1104-0	/proj/sens2022005/delivery05927/INBOX/UF-3016/220128_A00181_0416_BHN2WCDSX2/220128_A00181_0416_BHN2WCDSX2/Sample_UF-3016-1104-0/UF-3016-1104-0_S31_L001_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/220128_A00181_0416_BHN2WCDSX2/220128_A00181_0416_BHN2WCDSX2/Sample_UF-3016-1104-0/UF-3016-1104-0_S31_L001_R2_001.fastq.gz	reverse	Baseline
UF-3016-1105-0	/proj/sens2022005/delivery05927/INBOX/UF-3016/220128_A00181_0416_BHN2WCDSX2/220128_A00181_0416_BHN2WCDSX2/Sample_UF-3016-1105-0/UF-3016-1105-0_S28_L001_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/220128_A00181_0416_BHN2WCDSX2/220128_A00181_0416_BHN2WCDSX2/Sample_UF-3016-1105-0/UF-3016-1105-0_S28_L001_R2_001.fastq.gz	reverse	Baseline
UF-3016-1106-0	/proj/sens2022005/delivery05927/INBOX/UF-3016/220121_A00181_0412_AHNVKNDSX2/220121_A00181_0412_AHNVKNDSX2/Sample_UF-3016-1106-0/UF-3016-1106-0_S11_L003_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/220121_A00181_0412_AHNVKNDSX2/220121_A00181_0412_AHNVKNDSX2/Sample_UF-3016-1106-0/UF-3016-1106-0_S11_L003_R2_001.fastq.gz	reverse	Baseline
UF-3016-1107-0	/proj/sens2022005/delivery05927/INBOX/UF-3016/220128_A00181_0416_BHN2WCDSX2/220128_A00181_0416_BHN2WCDSX2/Sample_UF-3016-1107-0/UF-3016-1107-0_S6_L001_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/220128_A00181_0416_BHN2WCDSX2/220128_A00181_0416_BHN2WCDSX2/Sample_UF-3016-1107-0/UF-3016-1107-0_S6_L001_R2_001.fastq.gz	reverse	Baseline
UF-3016-1108-0	/proj/sens2022005/delivery05927/INBOX/UF-3016/220218_A00181_0431_AHN33MDSX2/220218_A00181_0431_AHN33MDSX2/Sample_UF-3016-1108-0/UF-3016-1108-0_S27_L001_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/220218_A00181_0431_AHN33MDSX2/220218_A00181_0431_AHN33MDSX2/Sample_UF-3016-1108-0/UF-3016-1108-0_S27_L001_R2_001.fastq.gz	reverse	Baseline
UF-3016-1109-0	/proj/sens2022005/delivery05927/INBOX/UF-3016/220128_A00181_0416_BHN2WCDSX2/220128_A00181_0416_BHN2WCDSX2/Sample_UF-3016-1109-0/UF-3016-1109-0_S36_L001_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/220128_A00181_0416_BHN2WCDSX2/220128_A00181_0416_BHN2WCDSX2/Sample_UF-3016-1109-0/UF-3016-1109-0_S36_L001_R2_001.fastq.gz	reverse	Baseline
UF-3016-1110-0	/proj/sens2022005/delivery05927/INBOX/UF-3016/211217_A00605_0328_AHLG2TDSX2/211217_A00605_0328_AHLG2TDSX2/Sample_UF-3016-1110-0/UF-3016-1110-0_S29_L001_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/211217_A00605_0328_AHLG2TDSX2/211217_A00605_0328_AHLG2TDSX2/Sample_UF-3016-1110-0/UF-3016-1110-0_S29_L001_R2_001.fastq.gz	reverse	Baseline
